MODEL - 1686746741,1686746745.996,0.9,0.1062,1.0,0.0511
MODEL - 1686746741,1686746746.029,0.9,0.0912,0.7,0.1286
MODEL - 1686746741,1686746746.066,0.95,0.0673,0.7,0.1886
MODEL - 1686746741,1686746746.1,0.75,0.1745,0.9,0.0844
MODEL - 1686746741,1686746746.139,0.85,0.0918,0.8,0.1101
MODEL - 1686746741,1686746746.177,0.95,0.0837,0.8,0.115
MODEL - 1686746741,1686746746.203,0.85,0.0866,0.8,0.1126
MODEL - 1686746741,1686746746.229,0.7,0.1932,1.0,0.0372
MODEL - 1686746741,1686746746.263,0.8,0.1867,0.6,0.2477
MODEL - 1686746741,1686746746.291,0.87,0.1036,1.0,0.0279
MODEL - 1686746741,1686746746.328,0.7,0.1664,0.7,0.181
MODEL - 1686746741,1686746746.358,0.8,0.1377,1.0,0.0288
MODEL - 1686746741,1686746746.384,0.7,0.1874,1.0,0.0289
MODEL - 1686746741,1686746746.421,0.85,0.1043,0.9,0.0726
MODEL - 1686746741,1686746746.454,0.95,0.0848,1.0,0.062
MODEL - 1686746741,1686746746.494,0.85,0.0995,0.9,0.0801
MODEL - 1686746741,1686746746.526,0.95,0.0483,0.8,0.1223
MODEL - 1686746741,1686746746.557,0.75,0.1812,0.7,0.1693
MODEL - 1686746741,1686746746.586,0.85,0.1122,0.6,0.2214
MODEL - 1686746741,1686746746.617,0.95,0.0783,0.9,0.061
MODEL - 1686746741,1686746746.648,0.85,0.0741,0.7,0.206
MODEL - 1686746741,1686746746.675,0.75,0.1776,0.8,0.2028
MODEL - 1686746741,1686746746.711,0.7,0.2113,0.6,0.1695
MODEL - 1686746741,1686746746.742,0.87,0.0936,0.7,0.2057
MODEL - 1686746741,1686746746.788,0.8,0.1431,0.6,0.2801
MODEL - 1686746741,1686746746.823,0.8,0.1346,0.7,0.2042
MODEL - 1686746741,1686746746.851,0.7,0.184,0.7,0.1943
MODEL - 1686746741,1686746746.88,0.85,0.0982,0.7,0.1793
MODEL - 1686746741,1686746746.904,0.95,0.0826,0.8,0.1696
MODEL - 1686746741,1686746746.93,0.9,0.0838,0.7,0.1918
MODEL - 1686746741,1686746746.959,0.95,0.0732,0.7,0.1716
MODEL - 1686746741,1686746746.987,0.7,0.1561,0.9,0.0782
